"target_id","pAc","smiles"
"O00329",5.47,"CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)/N=C/C2=C3C=CC=CN3N=C2"
"O00329",5.47,"C1COCCN1C2=CC(=O)N=C(N2)CC(=O)NC3=CC(=C(C=C3)F)[N+](=O)[O-]"
"O00329",5.48,"CC1=C(SC(=N1)NC(=O)N2CC[C@H]3[C@@]2(C3)C(=O)N)C4=CSC(=N4)C(C)(C)C"
"O00329",5.48,"CC1=NC(=NC(=N1)N)N2C3=CC=CC=C3N=C2NC4=CC=NN4C"
"O00329",5.48,"CC1=C(SC(=N1)NC(=O)N2CCC[C@@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C"
"O00329",5.49,"C1COCC[N+]1(COC(=O)CCC(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC(CO)C(=O)[O-])C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4"
"O00329",5.5,"CC1=C(C=C(C=C1)C2=C3C(=NC=NC3=NN2)N)OCC4=CC=CC=C4"
"O00329",5.5,"CC(C)(C)S(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)N)C=C2"
"O00329",5.5,"CC(C)(C)NS(=O)(=O)C1=CN=CC(=C1)C2=CN3C(=NC(=N3)NC(=O)N4CCOCC4)C=C2"
"O00329",5.5,"CC(=O)NC1=NN2C=C(C=CC2=N1)C3=CC(=CN=C3)S(=O)(=O)NCC4=CC=CC=C4"
"O00329",5.5,"CC(=O)NC1=NN2C=C(C=CC2=N1)C3=CC(=CC=C3)S(=O)(=O)C"
"O00329",5.51,"C1=CC(=CC(=C1)O)C2=C3C(=NC=NC3=NN2)N"
"O00329",5.52,"CC(=CC(=O)CCC(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6)C"
"O00329",5.52,"C1=CC=C2C=C(C=CC2=C1)C3=NN(C4=C3C(=NC=N4)N)CC(=O)N"
"O00329",5.52,"C[C@H](CN)N1C2=C(C(=N1)C3=CC(=C(C=C3)F)O)C(=NC=N2)N"
"O00329",5.52,"C#CCN1C2=C(C(=N1)C3=CC4=CC=CC=C4C=C3)C(=NC=N2)N"
"O00329",5.53,"CC(C)N1C2=C(C(=N1)C3=CC(=CC(=C3)Br)OC)C(=NC=N2)N"
"O00329",5.53,"CNC(=O)C1=NC(=CN=C1N)C2=CC(=CC=C2)NS(=O)(=O)C3=CC(=CC=C3)Cl"
"O00329",5.54,"CC(C)N1C=C(C2=C1N=CN=C2N)C3=CC(=CC=C3)O"
"O00329",5.54,"C=CCN1C2=C(C(=N1)C3=CC4=CC=CC=C4C=C3)C(=NC=N2)N"
"O00329",5.54,"C1COCCN1C2=CC(=O)N=C(N2)CC3=NC4=CC=CC=C4N3"
"O00329",5.55,"C1COCCN1C2=CC(=O)N=C(N2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F"
"O00329",5.56,"CCN1C2=C(C3CCCN3C1=S)C(=C(C(=N2)C4=CC(=CC=C4)OC)C#N)N5CCOCC5"
"O00329",5.56,"CC1CC2=CC=CC=C2N1C(=O)CC3=C(SC(=N3)N4CCOCC4)C(=O)O"
"O00329",5.56,"CC1=NC2=C(N1C3=NC(=NC(=N3)N4CCOCC4)N5CCOCC5)C=CC(=C2)OC"
"O00329",5.56,"C1COCCN1C2=CC(=O)N=C(N2)CC(=O)NC3=CC=C(C=C3)Cl"
"O00329",5.56,"CC1=C2C(=CC=C1)OC(=N2)CC3=NC(=O)C=C(N3)N4CCOCC4"
"O00329",5.58,"CCN1C2=C(C3CCCN3C1=S)C(=C(C(=N2)C4=CC(=C(C=C4)OC)OC)C#N)N5CCOCC5"
"O00329",5.59,"C1COCCN1C2=CC(=O)N=C(N2)CC3=NC4=C(O3)C(=CC=C4)F"
"O00329",5.6,"C1COCCN1C2=NC3=C(S2)C(=O)N=CN3CC4=C(SC=C4)Cl"
"O00329",5.6,"CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC=C(C=C4)OC)C5=CC=NC=C5"
"O00329",5.6,"CC1(CC2=C(C(=O)C1)SC(=N2)N3CCOC[C@H]3CC4=CNC5=CC=CC=C54)C"
"O00329",5.6,"CC1=C(C=C(C=C1)[N+](=O)[O-])S(=O)(=O)N(C)/N=C/C2=C3C=C(C(=CN3N=C2)F)C#N"
"O00329",5.6,"CC1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC=NC=C5"
"O00329",5.61,"C1COCCN1C2=CC(=O)N=C(N2)CC(=O)NC3=CC=CC=C3F"
"O00329",5.61,"CNC(=O)C1=NC(=CN=C1N)C2=CC(=CC=C2)S(=O)(=O)NC3=C(C(=CC=C3)F)F"
"O00329",5.61,"CC(C)N1C2=C(C(=N1)C3=CC4=C(C=C3)N(C=C4)C(=O)OC(C)(C)C)C(=NC=N2)N"
"O00329",5.62,"CN1C(=O)C=C(N=C1CC(=O)NC2=CC(=C(C=C2)F)OC)N3CCOCC3"
